artifact,artifact_type,created_date,reference_link,reference_text
aeonxaq.tokyo,domain,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514310349302153216,"#Phishing #AEONCARD #AEON??? #?????? 
#???????? #????????? 

hxxps://aeonxaq.tokyo/jp/login
(AS13335 - CLOUDFLARENET) https://t.co/NDndh7VcV..."
http://aeonxaq.tokyo/jp/login,url,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514310349302153216,"#Phishing #AEONCARD #AEON??? #?????? 
#???????? #????????? 

hxxps://aeonxaq.tokyo/jp/login
(AS13335 - CLOUDFLARENET) https://t.co/NDndh7VcV..."
www1-micard-co-jp.hznulove.com,domain,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514310115943665664,"#Phishing #MICARD #MI??? 

hxxps://www1-micard-co-jp.hznulove.com
(AS13335 - CLOUDFLARENET) https://t.co/RqhpKe5o21"
http://www1-micard-co-jp.hznulove.com,url,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514310115943665664,"#Phishing #MICARD #MI??? 

hxxps://www1-micard-co-jp.hznulove.com
(AS13335 - CLOUDFLARENET) https://t.co/RqhpKe5o21"
aeonxrvl.tokyo,domain,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514309337870893058,"#Phishing #AEONCARD #AEON??? #?????? 
#???????? #????????? 

hxxps://aeonxrvl.tokyo/jp/login
(AS13335 - CLOUDFLARENET) https://t.co/a9wJbmRk..."
http://aeonxrvl.tokyo/jp/login,url,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514309337870893058,"#Phishing #AEONCARD #AEON??? #?????? 
#???????? #????????? 

hxxps://aeonxrvl.tokyo/jp/login
(AS13335 - CLOUDFLARENET) https://t.co/a9wJbmRk..."
23.94.107.164,ipaddress,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514308905354297345,"#Phishing #ETC #ETC????

IP:23.94.107.164
(AS 36352 / AS-COLOCROSSING )

hxxps://www.etc-meisai.jtdlklw.cn
hxxps://www.etc-meisai.bhzblqd.cn..."
www.etc-meisai.uhdjuxv.cn,domain,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514308905354297345,"#Phishing #ETC #ETC????

IP:23.94.107.164
(AS 36352 / AS-COLOCROSSING )

hxxps://www.etc-meisai.jtdlklw.cn
hxxps://www.etc-meisai.bhzblqd.cn..."
http://www.etc-meisai.uhdjuxv.cn,url,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514308905354297345,"#Phishing #ETC #ETC????

IP:23.94.107.164
(AS 36352 / AS-COLOCROSSING )

hxxps://www.etc-meisai.jtdlklw.cn
hxxps://www.etc-meisai.bhzblqd.cn..."
www.etc-meisai.dnfpjyv.cn,domain,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514308905354297345,"#Phishing #ETC #ETC????

IP:23.94.107.164
(AS 36352 / AS-COLOCROSSING )

hxxps://www.etc-meisai.jtdlklw.cn
hxxps://www.etc-meisai.bhzblqd.cn..."
http://www.etc-meisai.dnfpjyv.cn,url,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514308905354297345,"#Phishing #ETC #ETC????

IP:23.94.107.164
(AS 36352 / AS-COLOCROSSING )

hxxps://www.etc-meisai.jtdlklw.cn
hxxps://www.etc-meisai.bhzblqd.cn..."
www.etc-meisai.bnfnsxe.cn,domain,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514308905354297345,"#Phishing #ETC #ETC????

IP:23.94.107.164
(AS 36352 / AS-COLOCROSSING )

hxxps://www.etc-meisai.jtdlklw.cn
hxxps://www.etc-meisai.bhzblqd.cn..."
http://www.etc-meisai.bnfnsxe.cn,url,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514308905354297345,"#Phishing #ETC #ETC????

IP:23.94.107.164
(AS 36352 / AS-COLOCROSSING )

hxxps://www.etc-meisai.jtdlklw.cn
hxxps://www.etc-meisai.bhzblqd.cn..."
www.etc-meisai.rafgrkt.cn,domain,2022-04-13T18:31:56,https://twitter.com/KesaGataMe0/status/1514308905354297345,"#Phishing #ETC #ETC????

IP:23.94.107.164
(AS 36352 / AS-COLOCROSSING )

hxxps://www.etc-meisai.jtdlklw.cn
hxxps://www.etc-meisai.bhzblqd.cn..."
